TRANSACTION_ID,TRANSACTION_DATE,TRANSACTION_TIME,TRANSACTION_QTY,STORE_ID,STORE_LOCATION,PRODUCT_ID,UNIT_PRICE,PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,WEEK,MONTH,REVENUE
1,2023/01/01,06:11.0,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sunday,Jan,6
2,2023/01/01,08:56.0,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sunday,Jan,6.2
3,2023/01/01,14:04.0,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sunday,Jan,9
4,2023/01/01,20:24.0,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sunday,Jan,2
5,2023/01/01,22:41.0,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sunday,Jan,6.2
6,2023/01/01,22:41.0,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,Sunday,Jan,3
7,2023/01/01,25:49.0,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sunday,Jan,2
8,2023/01/01,33:34.0,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Sunday,Jan,4
9,2023/01/01,39:13.0,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,Sunday,Jan,4.25
10,2023/01/01,39:34.0,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Sunday,Jan,7
11,2023/01/01,43:05.0,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sunday,Jan,2.55
12,2023/01/01,44:35.0,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Sunday,Jan,7
13,2023/01/01,45:51.0,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sunday,Jan,3
14,2023/01/01,48:19.0,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Sunday,Jan,3.1
15,2023/01/01,52:36.0,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,Sunday,Jan,6
16,2023/01/01,59:58.0,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sunday,Jan,6
